p,alga,lv,lv_s,lv_v,nonlv,mult,cits
Inventarizators/-re,1000,x,,,,,
Investoru attiecību vadītājs/-a,2350,x,,,,,
Inženieris / Projektētājs/-a,2100,x,,,,,
Inženieris tehnologs  Produktu attīstības projektu vadītājs/a,2750,x,,,,,
Inženieris/-e – enerģētiķis/-e,2090,x,,,,,
Inženieris/-e – enerģētiķis/-e,2090,x,,,,,
Inženiersistēmu servisa projektu vadītājs/-a,2050,x,,,,,
Izmaksu kontrolieris/-e,1675,x,,,,,
Izmaksu kontrolieris/-e,1675,x,,,,,
Izpilddirektora vietnieks/-ce,3094,x,,,,,
Izpilddirektora vietnieks/-ce,1800,x,,,,,
Izpilddirektors/-e,3500,x,,,,,
Izpilddokumentācijas sagatavošanas speciālists/-e,1500,x,,,,,
Izpilddokumentācijas speciālists/-e,1750,x,,,,,
Izpilddokumentācijas speciālists/-e,1750,x,,,,,
JAVA  programmētājs/-a,3000,x,,,,,
JURISKONSULTS/-E Līgumu vadības un juridiskā atbalsta daļā,1740,x,,,,,
JURISTS/-E Jauno klientu apstiprināšanas nodaļā,1700,x,,,,,
Jauno produktu tehnologs/-ģe,1800,x,,,,,
Jauno produktu tehnologs/-ģe,1800,x,,,,,
Jaunu biznesu attīstības vadītājs/-a,2500,x,,,,,
Jaunākais Biznesa Attīstības Projektu Vadītājs/-a Latvijā,1900,x,,,,,
Jaunākais Finanšu Kontrolieris/-e,1550,x,,,,,
Jaunākais PostgreSQL datu bāzes administrators/-e,2000,x,,,,,
Jaunākais Starptautisko Zīmolu vadītājs/-a,2800,x,,,,,
Jaunākais Starptautisko Zīmolu vadītājs/-a,2800,x,,,,,
Jaunākais apdrošināšanas speciālists/-e,1200,x,,,,,
Jaunākais apdrošināšanas speciālists/-e (darbs no mājām),1525,x,,,,,
Jaunākais apdrošināšanas speciālists/-e KDC Jēkabpils (darbam uz noteiktu laiku),1175,x,,,,,
Jaunākais apdrošināšanas speciālists/-e KDC Rēzekne  (darbs uz noteiktu laiku),1425,x,,,,,
Jaunākais apdrošināšanas speciālists/-e KDC Ķekava,1050,x,,,,,
Jaunākais darba aizsardzības speciālists/-e,1000,x,,,,,
Jaunākais ekonomists-datu analītiķis/-e,1475,x,,,,,
Jaunākais finanšu kontrolieris/-e,1700,x,,,,,
Jaunākais klientu atbalsta speciālists/-e (iespējams darbs no mājām),240,x,,,,,
Jaunākais kredītu projektu vadītājs/-a,1750,x,,,,,
Jaunākais kredītu projektu vadītājs/-a,1750,x,,,,,
Jaunākais personāla speciālists/-e,1300,x,,,,,
Jaunākais ražošanas kontroles centra koordinators/-e,1900,x,,,,,
Jaunākais reģistrācijas dokumentu izstrādes speciālists/-e,1400,x,,,,,
Jaunākais reģistrācijas dokumentu izstrādes speciālists/-e,1400,x,,,,,
Jaunākais tehniskais lietvedis/-e,1400,x,,,,,
Jaunākais(-ā) speciālists(-e) Nedzīvības apdrošināšanas biznesa atbalsta nodaļā,1150,x,,,,,
Jaunākais(-ā) speciālists(-e) Nedzīvības apdrošināšanas klientu atbalsta nodaļā,1150,x,,,,,
Jaunākais(-ā) speciālists(-e) Uzņēmumu finansēšanas centrā,1150,x,,,,,
Jaunākais/-ā IT sistēmas administrators/-e,1900,x,,,,,
Jaunākais/-ā Jurists/-e / Jurists/-e Finanšu Pakalpojumu Prakses Grupā,1950,x,,,,,
Jaunākais/-ā Pārdošanas Konsultants/-e,2200,x,,,,,
Jaunākais/-ā digitālā mārketinga speciālists/-e,1500,x,,,,,
Jaunākais/-ā digitālā mārketinga speciālists/-e,1500,x,,,,,
Jaunākais/-ā projektu vadītājs/-a Korporatīvo finanšu nodaļā,2000,x,,,,,
Jaunākais/-ā ražošanas plānotājs/-a,2000,x,,,,,
Jaunākais/-ā stjuarts/-e,1325,x,,,,,
Jaunākais/-ā transfertcenu speciālists/-e Nodokļu konsultāciju nodaļā,1400,x,,,,,
Jaunākais/ā Risku Vadības Speciālists/-e,1200,x,,,,,
Java izstrādātājs/-a,3575,x,,,,,
Java izstrādātājs/-a,3500,x,,,,,
Java izstrādātājs/-a,3500,x,,,,,
Juriskonsults/-e,2250,x,,,,,
Juriskonsults/-e,2250,x,,,,,
Juriskonsults/-e (Intelektuālā īpašuma jomā),1800,x,,,,,
Juriskonsults/-e (KAKD FN),1900,x,,,,,
Jurista palīgs/-dze,1300,x,,,,,
Jurista palīgs/-dze,1350,x,,,,,
Jurista palīgs/-dze,1350,x,,,,,
Jurists/-e,2200,x,,,,,
Jurists/-e,1900,x,,,,,
Jurists/-e,2425,x,,,,,
Jurists/-e,1760,x,,,,,
Jurists/-e,1950,x,,,,,
Jurists/-e,1800,x,,,,,
Jurists/-e,2500,x,,,,,
Jurists/-e,1700,x,,,,,
Jurists/-e,3150,x,,,,,
Jurists/-e,1700,x,,,,,
Jurists/-e,3150,x,,,,,
Jurists/-e (FTPD TAPN),2375,x,,,,,
Jurists/-e (vecākais iepirkumu speciālists/-e),2300,x,,,,,
Jurists/-e Iepirkumu nodaļā,2100,x,,,,,
Jurists/-e – iepirkumu projektu vadītājs/-a,1800,x,,,,,
KMA un A elektroatslēdznieks/-ce,1600,x,,,,,
KMA un A elektroatslēdznieks/-ce,1600,x,,,,,
Kategorijas vadītāja asistents/-e,1200,x,,,,,
Kategoriju vadītāja asistents/-te,1400,x,,,,,
Kategoriju vadītājs/-a E-komercijā,2250,x,,,,,
Kategoriju vadītājs/-ja,2000,x,,,,,
Kategoriju vadītāju asistents/-e,1700,x,,,,,
"Key Account Manager (for term 1,5 years) / Lielo klientu vadītājs/-a (uz laiku 1,5 gadi)",2400,,,,,x,
Kiberdrošības inženieris/-e,3750,x,,,,,
Kiberdrošības speciālists/-e,3200,x,,,,,
Klientu Konsultants(-e) Jēkabpils Filiālē,1450,x,,,,,
Klientu Konsultants(-e) Jēkabpils Filiālē,1450,x,,,,,
Klientu Konsultants(-e) Uzņēmumu ienākošās plūsmas nodaļā Valmierā,1450,x,,,,,
Klientu apkalpošanas Speciālists/e ( HoReCa ),1300,x,,,,,
Klientu apkalpošanas asistentu/i,1150,x,,,,,
Klientu apkalpošanas aģents/-e,240,x,,,,,
Klientu apkalpošanas speciālists/-e,1400,x,,,,,
Klientu apkalpošanas speciālists/-e,1200,x,,,,,
Klientu apkalpošanas speciālists/-e,280,x,,,,,
Klientu apkalpošanas speciālists/-e,1200,x,,,,,
Klientu apkalpošanas speciālists/-e,1440,x,,,,,
Klientu apkalpošanas speciālists/-e  Pretenziju apstrādes nodaļā,1625,x,,,,,
Klientu apkalpošanas speciālists/-e (zvanu operators/-e),1200,x,,,,,
Klientu apkalpošanas speciālists/-e - Pārdošanas asistents/-e Baltijas valstīs,1400,x,,,,,
Klientu apkalpošanas speciālists/-e Studiju informācijas centrā,1000,x,,,,,
Klientu apkalpošanas speciālists/-e/ pārdevējs/-a,1300,x,,,,,
Klientu apkalpošanas un pārdošanas speciālists/-e,1500,x,,,,,
Klientu apkalpošanas un pārdošanas speciālists/-e zvanu centrā (ar somu valodas zināšanām),1700,x,,,,,
Klientu atbalsta asistents/-e,1675,x,,,,,
Klientu atbalsta dienesta speciālists/-e,1150,x,,,,,
Klientu atbalsta speciālists/-e,1325,x,,,,,
Klientu attiecību speciālists/-e,1700,x,,,,,
Klientu attiecību speciālists/-e,1700,x,,,,,
Klientu attiecību vadītājs/a,2530,x,,,,,
Klientu darījumu vadītājs/-a,2300,x,,,,,
Klientu komunikācijas un lojalitātes speciālists/-e,2200,x,,,,,
Klientu konsultante/-s,1800,x,,,,,
Klientu konsultants (-e),1314,x,,,,,
Klientu konsultants (-e),1314,x,,,,,
"Klientu konsultants - pārdevējs/-a Rīgā, Pārdaugavā (Antenas ielā 3a)",1425,x,,,,,
Klientu konsultants/-e,1350,x,,,,,
Klientu konsultants/-e,1125,x,,,,,
Klientu konsultants/-e SIZEER Domina,1050,x,,,,,
Klientu konsultants/-e Ādažos,1325,x,,,,,
Klientu konsultantu asistents/-e t/c SPICE,975,x,,,,,
Klientu menedžeris/-e,1400,x,,,,,
Klientu menedžeris/-e,1350,x,,,,,
Klientu menedžeris/-e,3000,x,,,,,
Klientu menedžeris/-e,2400,x,,,,,
Klientu menedžeris/-e,3000,x,,,,,
Klientu menedžeris/-e,1750,x,,,,,
Klientu piesaistes speciālists(-e) (Eiropas tirgus),3200,x,,,,,
Klientu piesaistes speciālists(-e) (Ziemeļamerikas tirgus),3200,x,,,,,
Klientu projektu vadītājs/-a,2000,x,,,,,
Klientu projektu vadītājs/-a,2000,x,,,,,
Klientu sadarbības vadītājs/-a,1000,x,,,,,
"Klientu servisa vadītājs/a (uz noteiktu laiku, līdz 2 gadiem)",3150,x,,,,,
Klientu un pacientu reģistrators/-e,200,x,,,,,
Koksnes drupināšanas iekārtas operatori/-es,2700,x,,,,,
Koksnes produkcijas iepirkumu vadītājs/-a,3000,x,,,,,
Komercīpašumu attīstības projektu vadītājs/-a,3500,x,,,,,
Komercīpašumu attīstības projektu vadītājs/-a,3500,x,,,,,
Komunālās tehnikas pārdošanas speciālists/-e,1900,x,,,,,
Konditorejas ceha meistars-e / Tehnologs-ģe,1400,x,,,,,
Konferenču koordinātors/-e,1500,x,,,,,
Konferenču un rezervāciju aģents/-e,1525,x,,,,,
Konferenču un rezervāciju aģents/-e,1525,x,,,,,
Konstruktors/-e,1800,x,,,,,
Konstruktors/-e,1985,x,,,,,
Konstruktors/-e,1985,x,,,,,
Konsultējošs/-a pārdošanas speciālists/-e (Wolf un Flexit zīmoliem),2150,x,,,,,
Kontaktu centra speciālists/-e,1100,x,,,,,
Korporatīvo klientu automašīnu tirdzniecības vadītājs/-a,3000,x,,,,,
Korporatīvo klientu projektu vadītājs/-a,1967,x,,,,,
Korporatīvās vadības un stratēģijas daļas vadītājs/-a,3100,x,,,,,
Kravas automobiļa vadītājs/-a,1650,x,,,,,
Kravas automobiļa vadītājs/-a,280,x,,,,,
Kreditoru grāmatvedis/-e,1400,x,,,,,
Kreditoru grāmatvedis/-e,1400,x,,,,,
Kredītdaļas menedžeris/-e,1190,x,,,,,
Kredītspeciālists/-e,1300,x,,,,,
Kredītspeciālists/-e,1300,x,,,,,
Kredītu analīzes nodaļas vadītājs/-a,3000,x,,,,,
Kredītu piedziņas speciālists/e,1320,x,,,,,
Kredītu un riska nodaļas speciālists (-e),1250,x,,,,,
Krāvējs/-a noliktavā Vācijā,2400,x,,,,,
Kurjers/-e loģistikas nodaļā,1300,x,,,,,
Kvalitātes kontroles speciālists/-e,1500,x,,,,,
Kvalitātes kontroles vadītāja asistents/e,1700,x,,,,,
Kvalitātes nodrošināšanas (QA) testētājs/-a,1375,x,,,,,
Kvalitātes nodrošināšanas speciālists/-e,2000,x,,,,,
Kvalitātes speciālists/-e,1400,x,,,,,
Kvalitātes un procesu vadības speciālists/-e,2250,x,,,,,
Kvalitātes vadības sistēmas speciālists/-e,1900,x,,,,,
Kvalitātes vadības sistēmas vadītājs/-a,2150,x,,,,,
Kvalitātes vadības sistēmas vadītājs/-a,2150,x,,,,,
Kvalitātes vadības sistēmu speciālists/ -e,2000,x,,,,,
Kvalitātes vadības sistēmu speciālists/ -e,2000,x,,,,,
Kvalitātes vadības sistēmu speciālists/-e,1800,x,,,,,
Kvalitātes vadītājs/-a,2450,x,,,,,
Labdarības organizācijas vadītājs/-a,2100,x,,,,,
Laborants/-e,1100,x,,,,,
Latvijas Radio 4- Doma laukums informatīvi analītisko raidījumu PRODUCENTS/-E,1750,x,,,,,
Latvijas Radio 5- Pieci.lv galvenā satura REDAKTORS/-E,1750,x,,,,,
Latvijas dzelzceļa vēstures muzeja vadītājs/-a,2650,x,,,,,
Lauksaimniecības darbu vadītājs/-a / agronoms/-e,2500,x,,,,,
Licenču un norēķinu speciālists/-e,2350,x,,,,,
Lielo klientu piesaistes speciālists(-e) (Eiropas tirgus),4300,x,,,,,
Lielo klientu piesaistes speciālists(-e) (Ziemeļamerikas tirgus),4300,x,,,,,
Lielo klientu vadītājs/ -a,1750,x,,,,,
Lietoto automobiļu jaunāko tirdzniecības konsultants/-e,1500,x,,,,,
Lietoto automobiļu jaunāko tirdzniecības konsultants/-e,1500,x,,,,,
Lietotu automobiļu pārdevējs/-a,2750,x,,,,,
Lietotāju atbalsta speciālists/-e,1450,x,,,,,
Lietotāju atbalsta speciālists/-e,1550,x,,,,,
Lietotāju atbalsta speciālists/-e darbā ar DIGITĀLAJIEM RISINĀJUMIEM,1700,x,,,,,
Lietvedis/-e - Administratīvais asistents/-e,1400,x,,,,,
